,Country,GHI_2000,GHI_2007,GHI_2014,GHI_2022,country_missing_data
123,Central African Republic,48.8,46.8,40.7,37.2,0
124,Yemen,41.3,38.4,38.7,37.8,0
125,Syria,,,,,1
126,Burundi,,,,,1
127,Somalia,,,,,1
128,South Sudan,,,,,1
129,Syria,,,,,1
130,Eritrea,,,,,1
131,Libya,,,,,1
132,Maldives,,,,,1
133,Qatar,,,,,1
